condition,symptoms
peripheral arterial embolism,"leg pain,abnormal appearing skin,knee swelling,loss of sensation"
hemiplegia,"difficulty speaking,weakness,loss of sensation,slurring words"
idiopathic irregular menstrual cycle,"sharp abdominal pain,intermenstrual bleeding,pelvic pain,cramps and spasms,long menstrual periods"
food allergy,"cough,allergic reaction,skin rash"
cerebral edema,"dizziness,vomiting,headache,arm pain,focal weakness"
rosacea,"abnormal appearing skin,skin lesion,acne or pimples,symptoms of eye"
insect bite,"skin swelling,hand or finger swelling,skin lesion,leg swelling,itching of skin"
panic disorder,"depressive or psychotic symptoms,dizziness,insomnia,abnormal involuntary movements,chest tightness,irregular heartbeat"
pneumonia,"shortness of breath,cough,nasal congestion,vomiting,fever,difficulty breathing,chills,coryza"
injury to the leg,"leg pain,knee pain,ankle pain,problems with movement,knee stiffness or tightness,infant feeding problem,ankle swelling"
pulmonary embolism,"sharp chest pain,chest tightness,cough,leg pain,weakness,difficulty breathing,hemoptysis,sweating"
pulmonary embolism,"sharp chest pain,chest tightness,leg pain,weakness,difficulty breathing,hemoptysis"
pelvic inflammatory disease,"suprapubic pain,nausea,painful urination,vaginal discharge,back pain,burning abdominal pain"
labyrinthitis,"diminished hearing,nausea,ear pain,spots or clouds in vision,sweating"
esophagitis,"shortness of breath,sharp chest pain,cough,sharp abdominal pain,vomiting,nausea,burning abdominal pain,heartburn,upper abdominal pain"
problem during pregnancy,"vomiting,nausea,lower abdominal pain,back pain,pain during pregnancy,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms"
bladder disorder,"retention of urine,suprapubic pain,sharp abdominal pain,painful urination,involuntary urination,frequent urination,blood in urine,symptoms of bladder"
choledocholithiasis,"jaundice,sharp abdominal pain,nausea,upper abdominal pain"
cystitis,"retention of urine,sharp abdominal pain,painful urination,involuntary urination,lower abdominal pain,blood in urine,pelvic pain,side pain"
diverticulitis,"diarrhea,lower abdominal pain,side pain,upper abdominal pain"
vaginal cyst,"intermenstrual bleeding,pain during pregnancy,pelvic pain,vaginal pain,spotting or bleeding during pregnancy,heavy menstrual flow"
gastritis,"sharp abdominal pain,headache,nausea,diarrhea,vomiting blood,burning abdominal pain"
injury to the arm,"arm pain,bones are painful,loss of sensation"
migraine,"vomiting,nausea,diminished vision,spots or clouds in vision,symptoms of the face,disturbance of memory"
heart failure,"palpitations,weight gain,leg swelling,weakness,fluid retention,hurts to breath"
hiatal hernia,"sharp chest pain,difficulty in swallowing,sharp abdominal pain,back pain,heartburn,upper abdominal pain"
otitis externa (swimmer's ear),"facial pain,ear pain,ringing in ear,plugged feeling in ear,itchy ear(s),fluid in ear,redness in ear"
sinus bradycardia,"shortness of breath,irregular heartbeat,weakness,decreased heart rate,increased heart rate"
insect bite,"hand or finger swelling,abnormal appearing skin,skin lesion,leg swelling,itching of skin,skin rash"
osteomyelitis,"difficulty speaking,arm swelling,skin lesion"
primary insomnia,"anxiety and nervousness,insomnia,delusions or hallucinations"
dry eye of unknown cause,"double vision,symptoms of eye,foreign body sensation in eye,eye redness,lacrimation"
hyperopia,"difficulty speaking,eye deviation,diminished vision"
scabies,"skin swelling,abnormal appearing skin,foot or toe swelling,unpredictable menstruation,itching of skin,skin rash"
deviated nasal septum,"headache,facial pain,difficulty breathing,allergic reaction,apnea,abnormal breathing sounds,painful sinuses,nosebleed"
viral exanthem,"skin swelling,abnormal appearing skin,skin rash"
nerve impingement near the shoulder,"arm pain,hand or finger stiffness or tightness,neck pain,problems with movement,shoulder pain,shoulder stiffness or tightness,shoulder weakness"
genital herpes,"suprapubic pain,vaginal itching,painful urination"
acute stress reaction,"shortness of breath,depressive or psychotic symptoms,sharp chest pain,burning abdominal pain"
developmental disability,"lack of growth,hostile behavior,restlessness,delusions or hallucinations,temper problems,fears and phobias,obsessions and compulsions"
conjunctivitis due to allergy,"cough,nasal congestion,diminished vision,eye redness,lacrimation,eye burns or stings,allergic reaction"
paroxysmal ventricular tachycardia,"dizziness,irregular heartbeat,fainting,increased heart rate,fatigue"
post-traumatic stress disorder (ptsd),"insomnia,abusing alcohol,hostile behavior,excessive anger"
skin cancer,"skin swelling,abnormal appearing skin,skin lesion,irregular appearing scalp,skin moles,skin dryness, peeling, scaliness, or roughness,skin irritation,warts"
acute sinusitis,"ear pain,coughing up sputum,coryza"
poisoning due to analgesics,"depressive or psychotic symptoms,skin swelling,problems during pregnancy"
varicocele of the testicles,"swelling of scrotum,pain in testicles,mass in scrotum,involuntary urination,skin growth,pain of the anus,groin pain"
bladder cancer,"retention of urine,mass in scrotum,excessive urination at night,symptoms of bladder"
urge incontinence,"retention of urine,vaginal itching,involuntary urination,blood in urine"
onychomycosis,"abnormal appearing skin,skin growth,skin on leg or foot looks infected,irregular appearing nails"
transient ischemic attack,"depressive or psychotic symptoms,dizziness,headache,weakness,focal weakness,symptoms of the face,disturbance of memory,paresthesia"
genital herpes,"suprapubic pain,vaginal itching,painful urination,skin rash"
diverticulitis,"sharp abdominal pain,lower abdominal pain,burning abdominal pain,side pain,fever,chills"
kidney stone,"painful urination,frequent urination,lower abdominal pain,back pain"
diverticulitis,"blood in stool,sharp abdominal pain,vomiting,side pain,fever,upper abdominal pain,constipation"
acute kidney injury,"shortness of breath,dizziness,retention of urine,sharp abdominal pain,peripheral edema,kidney mass,symptoms of the kidneys"
anxiety,"anxiety and nervousness,depressive or psychotic symptoms,sharp chest pain,palpitations,headache,fears and phobias"
uterine fibroids,"sharp abdominal pain,involuntary urination,intermenstrual bleeding,pelvic pain,cramps and spasms"
retinal detachment,"diminished vision,double vision,spots or clouds in vision,lacrimation"
paroxysmal supraventricular tachycardia,"involuntary urination,increased heart rate"
white blood cell disease,"cough,sharp abdominal pain,vomiting,nausea,diarrhea,heartburn"
ear wax impaction,"cough,nasal congestion,ringing in ear,plugged feeling in ear,fever,sinus congestion"
chronic pain disorder,"leg pain,headache,low back pain,pelvic pain,knee pain,shoulder pain,ache all over"
mononeuritis,"hand or finger pain,elbow pain,loss of sensation,hand or finger weakness"
callus,"skin swelling,skin growth,irregular appearing nails"
glaucoma,"symptoms of eye,pain in eye,foreign body sensation in eye,spots or clouds in vision,eye redness,itchiness of eye,itchy eyelid"
infectious gastroenteritis,"vomiting,headache,nausea,burning abdominal pain,decreased appetite,chills,flu-like syndrome"
ganglion cyst,"hand or finger pain,knee pain,knee swelling,knee lump or mass,wrist lump or mass"
obstructive sleep apnea (osa),"difficulty in swallowing,mouth dryness,weight gain,difficulty breathing,fatigue,sleepiness"
angina,"shortness of breath,dizziness,chest tightness,palpitations,irregular heartbeat,hot flashes,lower body pain,sweating"
ganglion cyst,"leg pain,hand or finger pain,skin growth,knee swelling,knee lump or mass,hand or finger lump or mass,wrist lump or mass"
appendicitis,"nausea,diarrhea,lower abdominal pain,decreased appetite"
varicocele of the testicles,"pain in testicles,involuntary urination,infertility"
urge incontinence,"vaginal itching,painful urination,frequent urination,blood in urine"
subdural hemorrhage,"depressive or psychotic symptoms,dizziness,vomiting,facial pain"
kidney stone,"retention of urine,suprapubic pain,frequent urination,back pain,low back pain"
tendinitis,"leg pain,hip pain,hand or finger pain,arm pain,foot or toe pain,ankle pain"
chronic obstructive pulmonary disease (copd),"sharp chest pain,sore throat,cough,wheezing,coryza,congestion in chest"
skin pigmentation disorder,"skin swelling,acne or pimples,skin moles"
acute otitis media,"cough,diminished hearing,plugged feeling in ear,fever,coryza"
heart attack,"chest tightness,fainting,increased heart rate,burning chest pain"
spondylolisthesis,"hip pain,low back pain,loss of sensation,paresthesia,leg cramps or spasms,leg weakness"
vulvodynia,"nausea,painful urination,lower abdominal pain,pelvic pain,vaginal pain,side pain,cramps and spasms"
ankylosing spondylitis,"knee pain,paresthesia,ache all over"
carpal tunnel syndrome,"hand or finger pain,wrist pain,hand or finger swelling,arm pain,hand or finger stiffness or tightness,neck pain,loss of sensation,arm weakness"
sickle cell crisis,"sharp chest pain,leg pain,hip pain,vomiting,arm pain,back pain,low back pain,burning abdominal pain,knee pain"
overflow incontinence,"suprapubic pain,involuntary urination,blood in urine,hand or finger stiffness or tightness,impotence"
adjustment reaction,"anxiety and nervousness,delusions or hallucinations"
conjunctivitis,"sore throat,white discharge from eye,pain in eye,eye redness,lacrimation,itchiness of eye,coryza"
osteoarthritis,"hip pain,hand or finger pain,back pain,knee pain,ankle pain,knee weakness,elbow pain,muscle pain"
pelvic inflammatory disease,"sharp abdominal pain,nausea,painful urination,lower abdominal pain,vaginal discharge,intermenstrual bleeding,back pain,burning abdominal pain"
pulmonary embolism,"shortness of breath,leg swelling,side pain,hemoptysis"
prostate cancer,"retention of urine,involuntary urination,blood in urine"
mitral valve disease,"sharp chest pain,irregular heartbeat,sweating,nightmares"
croup,"shortness of breath,hoarse voice,sore throat,wheezing,coryza,abnormal breathing sounds"
liver disease,"jaundice,sharp abdominal pain,nausea,peripheral edema,heartburn,side pain,upper abdominal pain"
hydrocele of the testicle,"retention of urine,symptoms of the scrotum and testes,pain in testicles,mass in scrotum,groin pain"
vulvar disorder,"vaginal itching,pain during intercourse,vaginal discharge"
heart block,"shortness of breath,chest tightness,palpitations,irregular heartbeat,peripheral edema,weakness"
cirrhosis,"shortness of breath,blood in stool,vomiting blood,regurgitation,peripheral edema,abdominal distention,regurgitation.1"
deviated nasal septum,"sore throat,facial pain,difficulty breathing"
idiopathic absence of menstruation,"sharp abdominal pain,vaginal itching,pelvic pain,pain or soreness of breast"
mononeuritis,"hand or finger pain,wrist pain,foot or toe pain,ankle pain,elbow pain"
mononucleosis,"cough,nasal congestion,swollen lymph nodes,skin rash"
rocky mountain spotted fever,"headache,wrist pain"
vaginal yeast infection,"suprapubic pain,sharp abdominal pain,painful urination,lower abdominal pain"
osteochondroma,"lip swelling,abnormal appearing skin,skin lesion"
psychotic disorder,"anxiety and nervousness,depressive or psychotic symptoms,excessive anger,delusions or hallucinations,temper problems,fears and phobias,hysterical behavior"
presbyopia,"difficulty speaking,diminished vision,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,spots or clouds in vision"
chronic back pain,"neck pain,side pain,groin pain,back cramps or spasms,back stiffness or tightness"
post-traumatic stress disorder (ptsd),"anxiety and nervousness,insomnia,hostile behavior,drug abuse,delusions or hallucinations,temper problems"
injury to the arm,"hand or finger swelling,arm pain,arm stiffness or tightness,arm swelling,loss of sensation,joint pain,elbow swelling"
hemorrhoids,"heartburn,changes in stool appearance,rectal bleeding,constipation,itching of the anus"
skin pigmentation disorder,"abnormal appearing skin,skin lesion,skin growth,irregular appearing scalp,warts"
skin polyp,"irregular appearing scalp,skin moles,itching of skin"
sciatica,"leg pain,problems with movement,loss of sensation,leg cramps or spasms,lower body pain,unusual color or odor to urine"
arrhythmia,"sharp chest pain,palpitations,fainting,fatigue"
osteoarthritis,"hip pain,hand or finger pain,back pain,knee pain,ankle pain,knee weakness"
iridocyclitis,"diminished vision,foreign body sensation in eye,eye redness,cloudy eye"
indigestion,"nausea,diarrhea,burning abdominal pain,heartburn,decreased appetite,stomach bloating"
spondylitis,"back pain,neck pain,low back pain,lower body pain,stiffness all over"
marijuana abuse,"anxiety and nervousness,depression,depressive or psychotic symptoms,difficulty speaking,abusing alcohol,drug abuse,temper problems"
atrial flutter,"sharp chest pain,palpitations,frequent urination,swollen lymph nodes"
cornea infection,"foreign body sensation in eye,itchiness of eye,swollen eye"
infectious gastroenteritis,"blood in stool,sharp abdominal pain,nausea,chills,flu-like syndrome"
acute glaucoma,"diminished vision,pain in eye,foreign body sensation in eye,eye redness,blindness"
abdominal hernia,"groin mass,lower abdominal pain,regurgitation,ache all over,upper abdominal pain,swollen abdomen,regurgitation.1"
spondylosis,"arm pain,back pain,loss of sensation,paresthesia,ache all over,lower body pain"
pneumothorax,"shortness of breath,cough,back pain,side pain,shoulder pain,hurts to breath"
viral exanthem,"cough,skin swelling,abnormal appearing skin,skin rash"
herniated disk,"leg pain,arm pain,neck pain,paresthesia,arm weakness"
preeclampsia,"sharp abdominal pain,pain during pregnancy,spots or clouds in vision"
polycystic ovarian syndrome (pcos),"hot flashes,weight gain,absence of menstruation,long menstrual periods"
schizophrenia,"depression,depressive or psychotic symptoms,insomnia,delusions or hallucinations,temper problems,low self-esteem,hysterical behavior"
rectal disorder,"sharp abdominal pain,pain of the anus,burning abdominal pain,heartburn,rectal bleeding,constipation"
varicocele of the testicles,"symptoms of the scrotum and testes,swelling of scrotum,pain in testicles,lower abdominal pain,skin growth,groin pain"
urge incontinence,"retention of urine,vaginal itching,painful urination,frequent urination,blood in urine,excessive urination at night,constipation"
acute bronchitis,"shortness of breath,sore throat,cough,fever,difficulty breathing,coryza"
salivary gland disorder,"sore throat,throat feels tight,swollen lymph nodes"
dental caries,"skin swelling,facial pain,restlessness,ear pain,neck swelling,gum pain"
rheumatoid arthritis,"hand or finger pain,wrist pain,wrist swelling,knee pain,ache all over,elbow swelling,joint swelling"
alcohol withdrawal,"depressive or psychotic symptoms,dizziness,abnormal involuntary movements,abusing alcohol,vomiting,delusions or hallucinations,antisocial behavior"
viral exanthem,"vomiting,fever,pulling at ears"
kidney stone,"suprapubic pain,vomiting,painful urination,frequent urination"
diaper rash,"cough,blood in stool,irritable infant,fever,temper problems,pulling at ears"
scarlet fever,"sore throat,throat swelling,skin swelling,fever"
ingrown toe nail,"abnormal appearing skin,neck swelling,skin on leg or foot looks infected,swollen eye,irregular appearing nails,skin on arm or hand looks infected"
drug abuse,"anxiety and nervousness,depression,drug abuse,smoking problems,antisocial behavior"
acute pancreatitis,"abusing alcohol,vomiting,nausea,back pain,burning abdominal pain,side pain,lower body pain,hemoptysis"
tendinitis,"leg pain,hip pain,wrist pain,arm pain,foot or toe pain,ankle pain"
kidney failure,"shortness of breath,sharp chest pain,leg swelling,swollen abdomen"
concussion,"headache,nausea,double vision,sleepiness"
food allergy,"cough,hand or finger swelling,abnormal appearing skin,allergic reaction,skin rash"
peripheral nerve disorder,"abnormal involuntary movements,leg pain,back pain,problems with movement,loss of sensation,arm weakness,leg weakness"
esophagitis,"sore throat,cough,difficulty in swallowing,nausea,heartburn"
fibroadenoma,"hot flashes,bones are painful,pain or soreness of breast,lump or mass of breast"
coagulation (bleeding) disorder,"blood in urine,knee swelling,eye redness,melena"
osteochondroma,"lower abdominal pain,skin lesion,skin growth"
injury to the leg,"knee swelling,problems with movement,knee stiffness or tightness,leg swelling,foot or toe swelling,infant feeding problem,irregular appearing nails"
vitamin b12 deficiency,"knee stiffness or tightness,disturbance of memory,fatigue"
diaper rash,"cough,blood in stool,irritable infant,diarrhea,fever,diaper rash"
encephalitis,"dizziness,insomnia,disturbance of memory"
post-traumatic stress disorder (ptsd),"anxiety and nervousness,hostile behavior,drug abuse,delusions or hallucinations"
threatened pregnancy,"pelvic pain,cramps and spasms,blood clots during menstrual periods,uterine contractions"
kidney stone,"retention of urine,painful urination,lower abdominal pain,low back pain,side pain"
interstitial lung disease,"shortness of breath,sore throat,cough,nasal congestion,sleepiness,abnormal breathing sounds"
spondylitis,"leg pain,back pain,neck pain,low back pain,back mass or lump"
chronic constipation,"blood in stool,sharp abdominal pain,vomiting,rectal bleeding,constipation"
polycystic ovarian syndrome (pcos),"hot flashes,weight gain,absence of menstruation"
gout,"hand or finger pain,knee pain,foot or toe pain,leg swelling,foot or toe swelling,ankle swelling"
pulmonary embolism,"shortness of breath,chest tightness,leg pain,leg swelling,difficulty breathing,hemoptysis"
social phobia,"abusing alcohol,excessive anger,fears and phobias"
social phobia,"depressive or psychotic symptoms,abusing alcohol,excessive appetite"
peritonitis,"shortness of breath,groin mass,vomiting,intermenstrual bleeding,back pain,side pain"
sinus bradycardia,"sharp chest pain,dizziness,irregular heartbeat,fainting"
cystitis,"retention of urine,suprapubic pain,painful urination,involuntary urination,frequent urination,blood in urine,side pain"
alcoholic liver disease,"abnormal involuntary movements,diarrhea,stomach bloating"
anxiety,"depression,shortness of breath,sharp chest pain,irregular heartbeat,headache"
diaper rash,"cough,blood in stool,irritable infant,skin rash,diaper rash"
spondylosis,"hip pain,neck pain,loss of sensation,shoulder pain"
ankylosing spondylitis,"paresthesia,lower body pain,stiffness all over"
oral thrush (yeast infection),"sore throat,irritable infant,mouth ulcer,constipation,skin rash"
idiopathic irregular menstrual cycle,"sharp abdominal pain,intermenstrual bleeding,cramps and spasms,long menstrual periods,painful menstruation"
adjustment reaction,"depression,insomnia,hostile behavior,excessive anger,delusions or hallucinations"
benign prostatic hyperplasia (bph),"pain in testicles,involuntary urination,frequent urination,blood in urine,impotence,symptoms of prostate,excessive urination at night,hesitancy"
pneumonia,"shortness of breath,sharp chest pain,cough,nasal congestion,wheezing,weakness"
panic disorder,"shortness of breath,depressive or psychotic symptoms,insomnia,breathing fast"
lumbago,"leg pain,low back pain,muscle pain,side pain,low back cramps or spasms"
acne,"skin swelling,acne or pimples,irregular appearing scalp,long menstrual periods,skin dryness, peeling, scaliness, or roughness"
skin disorder,"abnormal appearing skin,irregular appearing scalp,skin moles,skin dryness, peeling, scaliness, or roughness,skin irritation"
neuralgia,"leg pain,hip pain"
parkinson disease,"dizziness,weakness,focal weakness,leg stiffness or tightness,stiffness all over"
oral mucosal lesion,"cough,lip swelling,toothache,fever,tongue lesions,mouth pain"
ear wax impaction,"cough,nasal congestion,ear pain,plugged feeling in ear,fever"
idiopathic painful menstruation,"vaginal itching,lower abdominal pain,blood clots during menstrual periods,unpredictable menstruation"
osteoarthritis,"hip pain,hand or finger pain,back pain,knee weakness,elbow pain,knee swelling"
schizophrenia,"depressive or psychotic symptoms,insomnia,hostile behavior,excessive anger,delusions or hallucinations,temper problems,fears and phobias,hysterical behavior"
conjunctivitis due to allergy,"cough,eye redness,sneezing"
injury to the shoulder,"arm pain,arm stiffness or tightness,back pain,neck pain,bones are painful,elbow pain,shoulder stiffness or tightness,muscle cramps, contractures, or spasms"
vaginitis,"sharp abdominal pain,vaginal itching,lower abdominal pain,vaginal discharge,pelvic pain"
idiopathic excessive menstruation,"sharp abdominal pain,involuntary urination,vaginal discharge,cramps and spasms,long menstrual periods,unpredictable menstruation"
labyrinthitis,"dizziness,vomiting,nausea,ear pain,plugged feeling in ear,loss of sensation"
trichomonas infection,"sharp abdominal pain,vomiting,lower abdominal pain,vaginal discharge,pain during pregnancy,unpredictable menstruation"
hypertensive heart disease,"leg swelling,difficulty breathing"
diverticulitis,"blood in stool,sharp abdominal pain,vomiting,diarrhea,lower abdominal pain,chills"
onychomycosis,"skin swelling,abnormal appearing skin,skin on leg or foot looks infected,irregular appearing nails,skin dryness, peeling, scaliness, or roughness,skin rash"
gastroesophageal reflux disease (gerd),"sharp chest pain,cough,sharp abdominal pain"
smoking or tobacco addiction,"drug abuse,headache,smoking problems,hurts to breath"
bursitis,"leg pain,hip pain,arm stiffness or tightness,arm swelling,elbow pain,leg swelling,shoulder pain"
drug abuse (opioids),"abusing alcohol,drug abuse,restlessness,temper problems"
acariasis,"emotional symptoms,itching of skin"
intestinal obstruction,"retention of urine,vomiting,nausea"
actinic keratosis,"abnormal appearing skin,skin lesion,skin moles,itching of skin,skin irritation,skin rash"
idiopathic irregular menstrual cycle,"sharp abdominal pain,heavy menstrual flow,unpredictable menstruation"
yeast infection,"suprapubic pain,vaginal itching,frequent urination,vaginal pain,skin rash,diaper rash"
sarcoidosis,"shortness of breath,sharp chest pain,chest tightness,headache,facial pain,pain in eye,peripheral edema"
chronic obstructive pulmonary disease (copd),"shortness of breath,sore throat,cough,nasal congestion,wheezing,fever,coryza"
von willebrand disease,"blood in stool,muscle swelling,nosebleed"
sensorineural hearing loss,"hoarse voice,nasal congestion,diminished hearing,throat feels tight,ear pain,ringing in ear,plugged feeling in ear,itchy ear(s)"
hemorrhoids,"sharp abdominal pain,pain of the anus,heartburn,lower body pain,melena,constipation"
injury to the arm,"arm pain,joint pain"
corneal disorder,"white discharge from eye,double vision,foreign body sensation in eye,itchiness of eye"
alzheimer disease,"depression,depressive or psychotic symptoms,difficulty speaking,hostile behavior,irregular appearing scalp,eye burns or stings"
lipoma,"skin swelling,groin mass,skin lesion,bones are painful,arm lump or mass"
kidney stone,"vomiting,painful urination,frequent urination,back pain,side pain"
gum disease,"lip swelling,toothache,facial pain,mouth ulcer,peripheral edema,ear pain,jaw swelling,fever,pain in gums"
anxiety,"shortness of breath,abnormal involuntary movements,palpitations,irregular heartbeat,increased heart rate"
spondylolisthesis,"leg pain,hip pain,back pain,neck pain,problems with movement"
dislocation of the ankle,"emotional symptoms,foot or toe pain,ankle swelling"
problem during pregnancy,"sharp abdominal pain,vomiting,back pain,pain during pregnancy,pelvic pain,cramps and spasms"
vulvodynia,"nausea,painful urination,lower abdominal pain,pain during pregnancy,cramps and spasms"
smoking or tobacco addiction,"sharp chest pain,cough,abusing alcohol,headache,excessive anger,hurts to breath"
pneumonia,"sore throat,cough,nasal congestion,wheezing,weakness,fever"
fungal infection of the hair,"abnormal appearing skin,irregular appearing scalp,pelvic pain,skin rash"
onychomycosis,"abnormal appearing skin,foot or toe pain,skin on leg or foot looks infected,irregular appearing nails,too little hair,skin rash"
eczema,"abnormal appearing skin,acne or pimples,allergic reaction,warts,skin rash"
strep throat,"sore throat,cough,difficulty in swallowing,vomiting,headache,ear pain,ache all over,skin rash"
conjunctivitis due to allergy,"nasal congestion,diminished vision,pain in eye,lacrimation,allergic reaction,swollen eye"
deep vein thrombosis (dvt),"leg pain,arm swelling,abnormal appearing skin,leg swelling,foot or toe swelling,leg cramps or spasms,leg stiffness or tightness"
sciatica,"hip pain,low back pain,problems with movement,leg cramps or spasms,unusual color or odor to urine,back cramps or spasms,leg weakness"
contact dermatitis,"skin swelling,skin lesion,skin moles,swollen eye,skin irritation,skin rash"
aphthous ulcer,"headache,toothache,mouth ulcer,fever"
drug abuse (methamphetamine),"anxiety and nervousness,shortness of breath,palpitations,abusing alcohol,hostile behavior,feeling ill"
paroxysmal supraventricular tachycardia,"shortness of breath,palpitations,irregular heartbeat,involuntary urination,increased heart rate"
tonsillitis,"sore throat,nasal congestion,diminished hearing,lump in throat,swollen or red tonsils"
bipolar disorder,"insomnia,delusions or hallucinations,temper problems"
alopecia,"acne or pimples,skin growth,irregular appearing scalp,itching of skin,skin rash"
idiopathic excessive menstruation,"sharp abdominal pain,involuntary urination,vaginal discharge,intermenstrual bleeding,cramps and spasms,painful menstruation,frequent menstruation"
fracture of the jaw,"facial pain,peripheral edema,jaw swelling,bones are painful,mouth pain"
osteoarthritis,"hip pain,hand or finger pain,back pain,knee pain,knee weakness,elbow pain,joint pain"
temporary or benign blood in urine,"retention of urine,sharp abdominal pain,painful urination,involuntary urination,frequent urination,lower abdominal pain,regurgitation,regurgitation.1"
croup,"shortness of breath,hoarse voice,sore throat,fever,pulling at ears"
injury to the hip,"leg pain,hand or finger swelling"
pain disorder affecting the neck,"insomnia,arm pain,low back pain,neck stiffness or tightness,disturbance of memory"
kidney stone,"retention of urine,vomiting,painful urination,frequent urination,lower abdominal pain,blood in urine,low back pain,side pain"
plantar fasciitis,"knee pain,ankle pain,muscle pain"
bell palsy,"abnormal involuntary movements,headache,facial pain,diminished vision,symptoms of eye,peripheral edema,weakness,symptoms of the face"
degenerative disc disease,"back pain,loss of sensation,paresthesia,shoulder pain,lower body pain,joint pain"
alcohol withdrawal,"depressive or psychotic symptoms,sharp chest pain,dizziness,abusing alcohol,fainting,delusions or hallucinations"
cholecystitis,"sharp abdominal pain,nausea,back pain,side pain,stomach bloating,regurgitation.1"
ear drum damage,"nasal congestion,diminished hearing,pus draining from ear,pulling at ears,bleeding from ear"
social phobia,"anxiety and nervousness,depression,depressive or psychotic symptoms,abusing alcohol"
eustachian tube dysfunction (ear disorder),"dizziness,sore throat,nasal congestion,diminished hearing,plugged feeling in ear,allergic reaction,redness in ear,swollen or red tonsils"
polycystic ovarian syndrome (pcos),"hot flashes,weight gain,infertility"
tonsillar hypertrophy,"cough,difficulty in swallowing,fever,apnea,abnormal breathing sounds"
liver disease,"shortness of breath,blood in stool,sharp abdominal pain,diarrhea,heartburn,side pain,upper abdominal pain,unusual color or odor to urine"
appendicitis,"lower abdominal pain,burning abdominal pain,side pain,stomach bloating"
injury to the shoulder,"arm pain,arm stiffness or tightness,back pain,neck pain,shoulder pain,shoulder stiffness or tightness,muscle cramps, contractures, or spasms"
benign paroxysmal positional vertical (bppv),"irregular heartbeat,fainting,frontal headache"
meniere disease,"headache,facial pain,ear pain,allergic reaction"
benign paroxysmal positional vertical (bppv),"dizziness,fainting,vomiting,headache,problems with movement"
trigger finger (finger disorder),"hand or finger pain,hand or finger swelling,hand or finger cramps or spasms"
arrhythmia,"sharp chest pain,palpitations,fainting,leg cramps or spasms,fatigue"
drug abuse (methamphetamine),"depressive or psychotic symptoms,hostile behavior,feeling ill"
soft tissue sarcoma,"groin mass,skin lesion,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness"
impetigo,"skin swelling,abnormal appearing skin,fever,itching of skin,sore in nose"
hemangioma,"lip swelling,skin moles,irregular appearing nails,skin dryness, peeling, scaliness, or roughness"
eczema,"abnormal appearing skin,skin lesion,irregular appearing scalp,allergic reaction,skin dryness, peeling, scaliness, or roughness,warts,skin rash"
asperger syndrome,"anxiety and nervousness,depressive or psychotic symptoms,lack of growth,excessive anger,antisocial behavior"
otitis media,ear pain
cystic fibrosis,"cough,feeling ill,intermenstrual bleeding"
spondylolisthesis,"leg pain,hip pain,back pain,neck pain,low back pain,problems with movement,loss of sensation"
strep throat,"sore throat,difficulty in swallowing,vomiting,headache,ear pain,decreased appetite,ache all over,chills"
bell palsy,"headache,diminished vision,symptoms of eye,weakness,loss of sensation"
eczema,"cough,abnormal appearing skin,skin lesion,irregular appearing scalp,allergic reaction,skin dryness, peeling, scaliness, or roughness"
erectile dysfunction,"frequent urination,impotence,symptoms of prostate,excessive urination at night,loss of sex drive"
multiple sclerosis,"abnormal involuntary movements,headache,loss of sensation,fatigue"
spontaneous abortion,"sharp abdominal pain,lower abdominal pain,pain during pregnancy,pelvic pain,blood clots during menstrual periods,uterine contractions,heavy menstrual flow"
viral exanthem,"skin swelling,decreased appetite,pulling at ears,skin rash"
hyperkalemia,"shortness of breath,dizziness,difficulty in swallowing,vomiting,nausea,weakness"
osteoarthritis,"back pain,knee pain,knee swelling"
labyrinthitis,"dizziness,diminished hearing,vomiting,ear pain,spots or clouds in vision,sweating"
idiopathic absence of menstruation,"sharp abdominal pain,nausea,vaginal itching,lower abdominal pain,pelvic pain,absence of menstruation,long menstrual periods"
cornea infection,"lip swelling,foreign body sensation in eye,spots or clouds in vision,swollen eye"
cervicitis,"sharp abdominal pain,vaginal itching,painful urination,pain during pregnancy"
neuralgia,"headache,arm pain,back pain"
callus,"skin swelling,skin lesion,skin growth,foot or toe swelling"
tonsillar hypertrophy,"sore throat,nasal congestion,fever,abnormal breathing sounds,redness in ear"
skin polyp,"skin swelling,skin dryness, peeling, scaliness, or roughness,warts"
sciatica,"leg pain,hip pain,low back pain,problems with movement,loss of sensation,unusual color or odor to urine,back cramps or spasms"
neuralgia,"headache,back pain,loss of sensation,shoulder pain"
seborrheic dermatitis,"abnormal appearing skin,skin lesion,acne or pimples,symptoms of the face,skin dryness, peeling, scaliness, or roughness,too little hair,skin rash,dry or flaky scalp"
pulmonary congestion,"sharp chest pain,chest tightness,cough,nasal congestion,weakness,fever"
sickle cell crisis,"leg pain,hip pain,sharp abdominal pain,arm pain,burning abdominal pain,ache all over"
gout,"hand or finger pain,wrist swelling,leg swelling,ankle swelling"
abdominal aortic aneurysm,"shortness of breath,palpitations,arm swelling,burning abdominal pain"
arthritis of the hip,"back pain,low back pain,pelvic pain,problems with movement,ache all over,lower body pain,joint pain"
hiatal hernia,"back pain,vomiting blood,regurgitation,burning abdominal pain,heartburn,upper abdominal pain,regurgitation.1"
